,Unnamed: 0,d,eps,loss,npoint,uq,zk,ud_p,e_val,normalized_grad
0,0,1,0.0,-0.3655838116850796,16,0.019384854464177,3.846108078296322,0.104831661604446,14.792547349936228,5.40791584472165
1,1,1,0.0,-0.365584030458377,64,0.009746486812211,3.832505407264782,0.052336041184616,14.688097696713792,5.369733955731226
2,2,1,0.0,-0.3655840005487007,256,0.004966298991687,3.831754550203739,0.026657253802359,14.68234293300706,5.367629666876704
3,3,1,0.005,-0.3655837694280061,16,0.019257391935054,3.84606327707363,0.10413991675502,14.79220273125435,5.4077892326351495
4,4,1,0.005,-0.365563752829025,64,0.009722515071168,3.915242638507024,0.054482761932799,15.329124918383442,5.603772432749111
5,5,1,0.005,-0.3655396440181707,256,0.004863473018722,3.955946052106307,0.027821575267939,15.649509167175475,5.720516010028121
6,6,1,0.001,-0.3655838041169632,16,0.019665277433348,3.846106284812391,0.106348064038397,14.792533554073373,5.407910689225975
7,7,1,0.001,-0.3655840022473712,64,0.009825183558538,3.832503595106539,0.052758567811693,14.688083806504547,5.369728463326902
8,8,1,0.001,-0.3655790632236128,256,0.004931729938919,3.872294392952475,0.02703443745202,14.994663865691178,5.481735169372587
9,9,1,0.0005,-0.3655838129144729,16,0.0189248272107,3.84610762938544,0.10234384938474,14.79254389681689,5.407914600502948
10,10,1,0.0005,-0.3655840029727334,64,0.009767084114316,3.83250495534407,0.052446626905249,14.688094232736852,5.369732285644588
11,11,1,0.0005,-0.3655828939116191,256,0.004950992232231,3.851906721993923,0.026855276899299,14.837185394941969,5.424221174186243
12,12,1,-0.005,-0.3655837707340344,16,0.019665262547568,3.846063277161193,0.106345595446439,14.792202731927896,5.4077892522004865
13,13,1,-0.005,-0.3655637550753089,64,0.009795347668337,3.915242636182875,0.054890899505141,15.329124900184228,5.603772460529732
14,14,1,-0.005,-0.3655396520919116,256,0.004910776846609,3.955946048811725,0.02809217814639,15.649509141109098,5.720516126850331
15,15,1,-0.001,-0.3655838119806941,16,0.018860638347552,3.846106284844081,0.101996649920989,14.79253355431714,5.407910805639703
16,16,1,-0.001,-0.3655840112504804,64,0.009666709033792,3.832503596361359,0.051907603957752,14.68808381612275,5.369728599081459
17,17,1,-0.001,-0.3655790801141029,256,0.004921221314666,3.872294386483683,0.026976833113121,14.994663815593045,5.481735404324506
18,18,1,-0.0005,-0.3655838117257653,16,0.01891064338254,3.846107629816579,0.102267144143745,14.7925439001333,5.407914584131347
19,19,1,-0.0005,-0.3655840358102843,64,0.009883511054177,3.83250495560215,0.053071813177312,14.688094234715038,5.3697327686887775
20,20,1,-0.0005,-0.3655830239745513,256,0.004929157269567,3.851906721472485,0.026736848737366,14.837185390924908,5.424223102484755
21,21,2,0.0,-0.3655838116850796,16,0.019384854464177,3.846108078296322,0.104831661604446,14.792547349936228,5.40791584472165
22,22,2,0.0,-0.365584030458377,64,0.009746486812211,3.832505407264782,0.052336041184616,14.688097696713792,5.369733955731226
23,23,2,0.0,-0.3655840005487007,256,0.004966298991687,3.831754550203739,0.026657253802359,14.68234293300706,5.367629666876704
24,24,2,0.005,-0.3655798366982346,16,0.01918979294014,3.839788947974736,0.103434931623428,14.74397916498893,5.390101495418917
25,25,2,0.005,-0.3655800447082803,64,0.009764375395261,3.8263461518802,0.052263135504029,14.640924874008414,5.352429970010593
26,26,2,0.005,-0.3655801543400637,256,0.004989107854006,3.825603972970144,0.026693500162913,14.63524575800495,5.350355403016489
27,27,2,0.001,-0.3655836513780224,16,0.019228861415238,3.8448395341374,0.103919434256366,14.7827910432659,5.404346727155388
28,28,2,0.001,-0.3655838494394394,64,0.009814838496744,3.831269074485566,0.052669047850081,14.678622721109486,5.366267398852623
29,29,2,0.001,-0.3655840439675917,256,0.004923520036436,3.830519960030037,0.026410608142797,14.672883164188516,5.364171963828324
30,30,2,0.0005,-0.3655837712156865,16,0.01846810904928,3.845473509140767,0.099841014811647,14.787666509503405,5.4061308900241425
31,31,2,0.0005,-0.3655839723416537,64,0.009917453505066,3.831886958388921,0.053236892610322,14.683357661871096,5.368000221339853
32,32,2,0.0005,-0.3655840005657916,256,0.004993708960701,3.831136976818994,0.026795740805813,14.677610535149782,5.365899578186772
33,33,2,-0.005,-0.3655797570404884,16,0.01903305920677,3.852486727495595,0.10326972982117,14.84165398552972,5.42580825810899
34,34,2,-0.005,-0.3655799589231774,64,0.00986025838358,3.838721231609945,0.053118258093829,14.735780694012972,5.3871061008183405
35,35,2,-0.005,-0.3655798898179018,256,0.004954196722388,3.837961526164686,0.026678215656664,14.729948676320364,5.3849730141125045
36,36,2,-0.001,-0.3655836505950046,16,0.019138898565487,3.847379000441458,0.103569921337655,14.802325173037913,5.411488074053628
37,37,2,-0.001,-0.3655838549582179,64,0.00973076626879,3.833744005577828,0.052285380018793,14.697593100303928,5.373202744216625
38,38,2,-0.001,-0.3655838904885191,256,0.004957303838033,3.832991390173331,0.026626143957085,14.691822997142882,5.371093809664477
39,39,2,-0.0005,-0.3655837762444949,16,0.018972576317471,3.846743241191875,0.102635977237255,14.797433563655373,5.409701640928022
40,40,2,-0.0005,-0.3655839908588538,64,0.009867900082973,3.833124423954033,0.053005110766115,14.692842849512935,5.371468125987107
41,41,2,-0.0005,-0.3655840392930173,256,0.004928754769673,3.832372683891622,0.026464269423987,14.687080388238671,5.369362173753023
42,42,3,0.0,-0.3655838108556346,16,0.019384854464,3.846108078359125,0.104831661369072,14.79254735041932,5.407915832628868
43,43,3,0.0,-0.3655840301477039,64,0.009746486812182,3.832505407285723,0.052336041140556,14.688097696874308,5.369733951226599
44,44,3,0.0,-0.3655840030696592,256,0.004966298991805,3.831754550036925,0.026657253984492,14.682342931728678,5.367629703422956
45,45,3,0.005,-0.3655821258651908,16,0.019692451001496,3.846112412698698,0.106494866740597,14.792580691115,5.407903096090312
46,46,3,0.005,-0.3654966494580084,64,0.009628773912053,4.002893112544079,0.056390036600125,16.023153270452827,5.856408834102721
47,47,3,0.005,-0.3654516863731171,256,0.004814861914498,4.044928413236691,0.028789590436024,16.361445868209493,5.979317984039344
48,48,3,0.001,-0.3655837485837787,16,0.018826925178062,3.84610825030129,0.101814418510885,14.79254867303565,5.407915394996303
49,49,3,0.001,-0.3655839592167056,64,0.009729207017951,3.832505565495778,0.052243247419829,14.688098909556114,5.369733352722058
50,50,3,0.001,-0.3655639442608143,256,0.004933220639823,3.913914928632024,0.027625914151451,15.31873006856862,5.599975384932752
51,51,3,0.0005,-0.3655837958793677,16,0.019704719556282,3.846108121010577,0.106561462864028,14.792547678503512,5.407915731033862
52,52,3,0.0005,-0.3655840146909877,64,0.009904061793705,3.832505447308999,0.053182175730959,14.68809800365315,5.369733836349999
53,53,3,0.0005,-0.365572876981634,256,0.004950129840401,3.893003399063583,0.027425851672408,15.15547546512061,5.540430767809171
54,54,3,-0.005,-0.3655821248228286,16,0.019575662147347,3.846112412527284,0.105863283623377,14.792580689796443,5.407903080188998
55,55,3,-0.005,-0.3654966491863696,64,0.009657076582942,4.002893111773695,0.056555788548145,16.02315326428529,5.856408827495851
56,56,3,-0.005,-0.3654516779637761,256,0.004843614924218,4.044928411432934,0.028961513131884,16.361445853617354,5.979317841118393
57,57,3,-0.001,-0.3655837461980482,16,0.01921671386305,3.846108250131031,0.103922362053849,14.792548671725982,5.4079153592265055
58,58,3,-0.001,-0.3655839548796316,64,0.009822545719336,3.832505566094729,0.052744450748515,14.68809891414708,5.369733290697322
59,59,3,-0.001,-0.3655639415367501,256,0.004923192720887,3.913914932972094,0.027569757907946,15.31873010254195,5.59997535562224
60,60,3,-0.0005,-0.3655837946405399,16,0.019932434553218,3.846108120894418,0.107792926006367,14.792547677609992,5.407915712381673
61,61,3,-0.0005,-0.3655839999443116,64,0.009785743445308,3.832505447474057,0.052546835577042,14.688098004918324,5.369733620212247
